dates,Norway,Algeria,LNG,Russia,Azerbaijan,UK net flows,Nord Stream,Ukraine Gas Transit,"Yamal (BY,PL)",Turkstream
2022-12-30,249,110,351,73,36,60,0,40,0,28
2022-12-31,242,107,335,75,36,57,0,38,0,31
2023-01-01,243,89,324,69,36,52,0,38,0,26
2023-01-02,239,80,348,68,36,56,0,38,0,25
2023-01-03,248,80,362,69,36,65,0,38,0,26
2023-01-04,242,83,367,66,36,64,0,34,0,26
2023-01-05,246,75,344,66,34,73,0,34,0,26
2023-01-06,252,79,339,66,34,73,0,31,0,27
2023-01-07,245,80,323,64,34,51,0,31,0,24
2023-01-08,244,79,311,63,34,50,0,30,0,25
2023-01-09,248,82,341,66,34,57,0,31,0,26
2023-01-10,248,74,346,67,34,64,0,31,0,27
2023-01-11,246,72,352,68,33,64,0,31,0,29
2023-01-12,249,73,361,68,33,57,0,31,0,29
2023-01-13,243,71,359,66,31,54,0,30,0,29
2023-01-14,242,72,327,67,31,32,0,31,0,26
2023-01-15,240,72,318,65,31,31,0,31,0,25
2023-01-16,236,74,345,65,33,39,0,31,0,26
2023-01-17,241,74,363,61,33,47,0,28,0,25
2023-01-18,234,80,366,60,34,60,0,29,0,24
2023-01-19,236,79,351,52,33,48,0,20,0,24
2023-01-20,230,77,358,56,33,50,0,21,0,27
2023-01-21,238,70,335,55,37,45,0,19,0,26
2023-01-22,229,71,319,54,37,39,0,20,0,25
2023-01-23,224,65,354,50,37,43,0,14,0,26
2023-01-24,230,63,353,57,34,41,0,20,0,27
2023-01-25,235,59,349,57,34,56,0,20,0,28
2023-01-26,224,58,341,58,34,56,0,20,0,29
2023-01-27,197,58,312,58,34,32,0,21,0,30
2023-01-28,226,56,309,55,34,35,0,19,0,28
2023-01-29,229,59,306,54,34,39,0,20,0,26
